"school_number","school_type","city","percentage_of_students_whose_first_language_is_not_english","percentage_of_students_that_passed_the_grade_10_osslt_on_their_first_attempt","percentage_of_students_receiving_special_education_services","percentage_of_students_identified_as_gifted","percentage_of_school_aged_children_who_live_in_low_income_households","percentage_of_students_whose_parents_have_no_degree_diploma_or_certificate"
"891347","public","desbarats","0","71","25","0","15","10"
"900869","public","chapleau","0","53","20","0","10","10"
"908010","public","elliot lake","0","61","30","0","15","10"
"920533","public","sault ste marie","3","68","19","0","12","6"
"926086","public","wawa","5","57","30","0","5","0"
"958050","public","sault ste. marie","2","72","20","1","16","6"
"895270","public","blind river","0","57","40","0","20","10"
"953148","public","sault ste marie","10","58","35","0","15","0"
"715298","catholic","kingston","5","77","25","0","8","1"
"835099","catholic","belleville","5","86","20","0","20","0"
"752932","catholic","kingston","10","87","28","0","15","4"
"841358","catholic","trenton","0","83","30","0","15","5"
"851752","catholic","belleville","2","65","25","0","12","5"
"899569","public","clinton","0","56","30","0","10","0"
"953776","public","wingham","2","75","26","2","16","20"
"913600","public","goderich","5","81","25","10","10","5"
"923095","public","listowel","14","77","18","2","8","18"
"927120","public","mitchell","0","94","20","0","10","0"
"943118","public","exeter","0","64","30","0","10","10"
"944807","public","st marys","5","72","20","0","5","0"
"896969","public","lion s head","0","46","30","0","10","10"
"925438","public","meaford","5","80","30","0","10","0"
"914444","public","flesherton","2","67","27","0","12","10"
"915556","public","hanover","2","74","35","0","12","14"
"919454","public","kincardine","4","70","29","0","9","5"
"951692","public","owen sound","5","91","32","1","15","7"
"953253","public","wiarton","0","81","40","0","10","10"
"940127","public","port elgin","9","91","31","1","12","6"
"950262","public","walkerton","0","70","40","0","10","10"
"688088","catholic","brantford","2","79","17","2","13","5"
"720232","catholic","simcoe","3","83","18","2","11","8"
"751898","catholic","brantford","4","86","14","3","11","4"
"759430","catholic","walkerton","3","80","32","0","11","10"
"776599","catholic","owen sound","1","63","22","0","13","7"
"715190","catholic","cornwall","13","81","30","0","18","7"
"736457","catholic","carleton place","4","78","38","0","9","2"
"751502","catholic","hammond","10","58","40","0","10","0"
"804800","catholic","perth road","5","81","35","0","15","0"
"806277","catholic","cornwall","9","85","33","0","16","9"
"824593","catholic","brockville","5","90","30","0","15","10"
"832480","catholic","kemptville","0","91","30","0","10","0"
"803065","catholic","kemptville","0","8","100","0","20","0"
"733067","catholic","russell","0","91","25","0","5","0"
"907430","public","ottawa","76","96","18","0","20","7"
"912662","public","orleans","87","92","15","0","10","3"
"907464","public","cornwall","60","79","0","0","15","10"
"949540","public","hawkesbury","90","97","20","0","15","5"
"904945","public","gloucester","85","96","13","0","22","8"
"901539","public","trenton","60","100","30","0","10","0"
"930144","public","kanata","75","94","25","0","10","5"
"907421","public","ottawa","90","87","0","0","30","15"
"918997","public","toronto","80","100","10","0","30","15"
"907588","public","north york","80","91","15","0","30","10"
"907553","public","welland","50","80","20","0","20","10"
"910554","public","london","40","89","15","0","20","5"
"914723","public","oakville","80","96","20","0","20","5"
"907308","public","hamilton","70","83","20","0","20","10"
"907642","public","brampton","70","92","10","0","15","5"
"934852","public","penetanguishene","30","72","20","0","15","5"
"896889","public","richmond hill","40","89","10","0","10","10"
"925326","public","barrie","55","86","20","0","10","0"
"901037","public","pickering","70","81","10","0","20","10"
"952803","public","toronto","65","92","10","0","20","10"
"961008","public","windsor","90","88","15","0","30","15"
"683922","catholic","hamilton","70","86","20","0","20","5"
"733458","catholic","toronto","80","91","10","5","25","15"
"740390","catholic","barrie","45","89","20","5","10","0"
"846041","catholic","toronto","85","90","15","0","30","10"
"751073","catholic","cambridge","65","94","20","5","5","0"
"705357","catholic","aurora","60","93","15","0","15","0"
"706477","catholic","whitby","75","94","15","0","10","0"
"691950","catholic","toronto","70","98","15","0","20","10"
"782017","catholic","welland","80","88","25","5","15","5"
"790001","catholic","mississauga","85","94","10","0","10","0"
"865368","catholic","oakville","80","94","10","0","10","0"
"907448","public","hanmer","75","79","40","0","10","0"
"907570","public","sudbury","70","90","25","0","10","0"
"922870","public","timmins","70","57","50","0","10","10"
"919055","public","kapuskasing","80","64","30","0","10","10"
"946117","public","sturgeon falls","80","62","30","0","10","10"
"909335","public","north bay","50","56","40","0","10","0"
"685011","catholic","north bay","65","82","25","0","15","0"
"710660","catholic","sturgeon falls","90","82","25","0","15","10"
"704920","catholic","embrun","100","98","15","0","0","0"
"728330","catholic","rockland","97","95","22","2","8","3"
"725684","catholic","cornwall","90","83","25","5","15","10"
"752908","catholic","alexandria","95","81","30","0","20","5"
"695050","catholic","casselman","93","86","27","3","9","1"
"752720","catholic","plantagenet","100","90","25","0","10","5"
"713740","catholic","hawkesbury","100","90","30","5","20","0"
"701718","catholic","thunder bay","40","94","25","0","5","5"
"724157","catholic","cochrane","80","78","15","0","5","10"
"698725","catholic","kapuskasing","90","83","15","0","20","5"
"711110","catholic","hearst","100","89","25","0","10","10"
"822507","catholic","new liskeard","85","81","25","0","10","10"
"864650","catholic","timmins","81","79","22","0","10","9"
"705020","catholic","kirkland lake","70","89","30","0","20","0"
"855949","catholic","brockville","40","94","20","10","10","10"
"705314","catholic","orleans","85","92","24","0","6","1"
"694827","catholic","nepean","80","87","20","0","25","10"
"695955","catholic","ottawa","91","90","21","0","28","9"
"705233","catholic","ottawa","78","86","16","0","22","10"
"710903","catholic","orleans","85","94","18","0","6","3"
"696021","catholic","pembroke","60","100","30","0","10","5"
"750085","catholic","kingston","60","92","20","0","5","0"
"846435","catholic","orleans","85","95","20","0","5","5"
"758231","catholic","ottawa","62","96","22","0","6","1"
"832670","catholic","nepean","64","94","17","0","8","2"
"705373","catholic","ottawa","90","71","70","0","20","10"
"698989","catholic","sudbury","88","90","8","0","11","2"
"707511","catholic","sault ste marie","50","80","20","0","20","10"
"696048","catholic","chelmsford","80","73","25","0","10","5"
"705004","catholic","blind river","30","67","30","0","20","10"
"704970","catholic","chapleau","60","73","30","0","10","10"
"771473","catholic","val caron","85","80","10","0","5","0"
"705110","catholic","sudbury","80","75","35","0","10","0"
"704717","catholic","windsor","40","97","30","0","15","5"
"708500","catholic","london","55","92","20","0","20","10"
"705438","catholic","woodstock","20","68","20","0","0","10"
"791601","catholic","sarnia","30","96","20","0","10","0"
"707015","catholic","pain court","15","83","40","0","15","5"
"728772","catholic","tecumseh","25","84","27","1","10","7"
"890200","public","niagara falls","9","84","18","0","12","5"
"894109","public","beamsville","0","83","45","0","10","0"
"935455","public","st. catharines","5","89","30","0","20","10"
"906328","public","fonthill","3","80","19","0","5","1"
"906972","public","welland","0","64","60","0","25","10"
"907677","public","st catharines","10","92","19","1","12","6"
"914010","public","st catharines","5","84","14","0","11","6"
"897646","public","fort erie","3","85","23","1","18","5"
"914517","public","grimsby","4","85","18","0","8","2"
"921750","public","st catharines","8","82","25","0","21","9"
"935700","public","port colborne","0","61","40","0","15","5"
"942464","public","st catharines","17","87","15","0","16","6"
"944157","public","st catharines","20","52","67","0","26","11"
"945064","public","niagara falls","6","75","45","1","21","7"
"948055","public","thorold","5","73","30","0","17","8"
"947180","public","welland","8","75","18","1","16","4"
"952214","public","niagara falls","31","84","22","0","17","7"
"902292","public","cochrane","0","42","30","0","10","15"
"908924","public","englehart","0","73","40","0","20","20"
"918288","public","iroquois falls","0","57","35","0","15","10"
"919063","public","kapuskasing","10","53","35","0","20","0"
"920363","public","kirkland lake","0","55","40","0","20","5"
"943509","public","south porcupine","0","65","50","0","10","5"
"946940","public","new liskeard","3","78","39","0","13","7"
"948578","public","timmins","2","63","27","0","12","9"
"687308","catholic","mississauga","29","76","17","0","21","16"
"749813","catholic","brampton","28","86","14","0","10","11"
"850888","catholic","brampton","25","76","14","0","16","6"
"706957","catholic","mississauga","52","81","11","0","29","8"
"718114","catholic","brampton","35","94","6","0","15","9"
"722790","catholic","mississauga","32","87","19","0","15","4"
"724564","catholic","mississauga","38","82","18","0","22","7"
"798118","catholic","mississauga","28","85","15","1","15","6"
"690694","catholic","brampton","18","84","13","2","13","7"
"742333","catholic","mississauga","25","89","18","1","10","4"
"751430","catholic","mississauga","49","86","18","0","19","6"
"753211","catholic","caledon east","6","79","18","0","7","5"
"767255","catholic","mississauga","31","90","19","0","17","2"
"775606","catholic","brampton","19","74","22","0","14","8"
"788511","catholic","brampton","21","87","19","0","10","7"
"792594","catholic","mississauga","31","90","11","3","15","5"
"806919","catholic","mississauga","27","83","13","1","17","7"
"821381","catholic","mississauga","18","88","17","1","10","5"
"822655","catholic","brampton","14","81","15","0","11","9"
"823953","catholic","mississauga","38","78","18","0","19","5"
"841730","catholic","mississauga","35","79","15","0","20","5"
"854530","catholic","brampton","23","75","13","0","15","10"
"696056","catholic","mississauga","49","84","13","0","20","3"
"864570","catholic","bolton","6","79","18","0","7","4"
"736228","catholic","mississauga","30","28","45","0","20","5"
"784979","catholic","brampton","18","87","14","0","11","7"
"685984","catholic","whitby","6","91","21","0","10","4"
"703923","catholic","ajax","10","87","30","0","12","7"
"710083","catholic","whitby","8","87","18","0","10","2"
"735060","catholic","oshawa","10","53","40","0","20","5"
"741310","catholic","oshawa","7","70","24","0","14","6"
"738050","catholic","ajax","7","80","17","0","13","7"
"826278","catholic","pickering","8","84","19","0","10","4"
"890855","public","ajax","14","75","21","1","12","6"
"892025","public","whitby","11","87","25","14","10","2"
"896446","public","cannington","5","61","30","0","10","0"
"934991","public","whitby","3","85","21","3","5","3"
"904392","public","whitby","14","88","14","4","8","2"
"905674","public","pickering","12","87","21","2","8","3"
"905585","public","oshawa","5","50","40","0","15","10"
"906565","public","oshawa","5","75","34","1","17","6"
"911291","public","oshawa","10","38","40","0","30","10"
